Doc_name,Question,Answer,Label,Context
Gary Holton,Gary Holton appeared in which film and which show as Keith?, Holton appeared in the film Breaking Glass and as Keith in an episode of Play for Today.,career,"In 1980, Holton appeared playing the character of Keith in an episode of television series Play for Today, and as
a minor character in the film Breaking Glass. He appeared in the 1981 television film Tiny Revolutions, where
he played a minor character, and in the television series The Gentle Touch, where he guest-starred as Rick Sloan."
Gary Dourdan,Which two videos did Gary Dourdan appear in for Janet Jackson and Eric B and Rakim?,"""Gary Dourdan appeared in Janet Jackson's video titled """"Again"""" and in the music video """"Move the Crowd"""" by Eric B & Rakim.""",career,"He began acting in music videos, including playing
Janet Jackson's love interest in the video for her 1993 hit
""Again"", and had a cameo appearance in the music video
""Move the Crowd"" by Eric B. & Rakim."
Eleanor Tomlinson,What roles did Eleanor May Tomlinson play in Jact the Giant Slayer (2013) The White Queen and Poldark?,Eleanor May Tomlinson played Princess Isabelle in Jack the Giant Slayer (2013) Isabel Neville in The White Queen and Demelza Poldark in Poldark.,career,"After an extensive search, Tomlinson was cast as Princess Isabelle in Jack the Giant Slayer (2013), directed by
Bryan Singer.
[11][12]She starred in the TV series, The White Queen, as Lady Isabel Neville[13] and as Georgiana Darcy in the BBC
adaptation of Death Comes to Pemberley.
[14] Since 2015, she has played Demelza Poldark in the BBC One
television series Poldark.
[15]"
Eleanor Tomlinson,What role did Eleanor Tomlinson play in The Sarah Jane Adventures and in the film Alice in Wonderland in 2010?,Eleanor Tomlinson played Eve in The Sarah Jane Adventures in 2009 and Fiona Chataway in the film Alice in Wonderland in 2010.,career,"Tomlinson went on to play Eve, an alien, in 'The Mad Woman in the Attic' – episodes three and four of Series 3
of The Sarah Jane Adventures – in 2009,
[8] as well as Fiona Chataway in the film Alice in Wonderland which
premiered in theatres on 5 March 2010.[9][10]"
Eleanor Tomlinson,In which film did Eleanor Tomlinson play Xenya and when was that film first released?,Eleanor Tomlinson played as Xenya in the film Siberian Education. In 2013.,career,"In 2013 she was Xenya in the film Siberian Education by Gabriele
Salvatores.
"
Don Rickles,What role did Riclkles star as in 1998's Dennis the Menace Strikes Again?,Rickles starred as George Wilson in 1998's Dennis the Menace Strikes Again.,career,Rickles starred as George Wilson in 1998's Dennis the Menace Strikes Again.
Don Rickles,What did Don Rickles do in Quest for Camelot and Dirty Work?,Don Rickles portrayed in the film Dirty Work and voiced Cornwall in Quest for Camelot.,career,"In 1998, he portrayed a film theater manager in Dirty Work and voiced Cornwall, one of the heads of a two-
headed dragon, in Quest for Camelot."
Xavi,What team did Xavi play for?,Xavi played internationally for spain and bracelona.,introduction,He is known for playing for the Spain national team and Barcelona.
Xavi,In which year did Xavi make his debut appearance and how many times did he consequently play for Spain in total?,Xavi was capped 133 times for the Spain national team.,introduction,"Since making
his senior team debut in 2000, he has been capped 133 times
for the Spain national team, and has been seen as an
influential figure in the team's tremendous success."
Lauren Daigle,When did Lauren Daigle win the GMA Dove Award for the Song of the Year and which song of hers received the award?,In 2015 Daigle won the GMA Dove Award for the Song of the Year for How Can It Be.,career,"Along with being named Best New Artist at
the 2015 Dove Awards, Daigle earned awards for Song of the Year and Contemporary Song of the Year (for
""How Can It Be). "
Larisa Oleynik,Other than The Swan Princess what other pre-2000's films did Larisa Oleynik play in?,In 1995 Larisa Oleynik played as Dawn Schafer in the film adaptation The Baby-Sitters Club and acted 10 Things I Hate About You (1999).,introduction,"She
also began a film career, starring in an ensemble cast as Dawn
Schafer in the film adaptation The Baby-Sitters Club (1995),
and in a lead role in the teen comedy 10 Things I Hate About
You (1999)."
Jim Brown,How many yards and touchdowns did Jim Brown complete during his NFL career?,Throughout his NFL career spanning from 1957 to 1965 Jim Brown had 12312 rushing yards and 106 touchdowns.,introduction,"In his professional career, Brown carried the ball 2,359 times for
12,312 rushing yards and 106 touchdowns, which were all records
when he retired."
Harold Ramis,In what movies did Harold Ramis play Dr. Egon Spengler and what years did those films come out?,In 1984 Ramis acted in Ghostbusters as Dr. Egon Spengler and repeated the role in the 1989 Ghostbusters II.,introduction,"His best-known film acting roles were as Egon
Spengler in Ghostbusters (1984) and Ghostbusters II (1989)
and Russell Ziskey in Stripes (1981); he also co-wrote those
films."
June Marlowe,In what role did the actress not play Miss Crabtree,Marlowe acted as Miss Crabtree in Shiver My Timbers in 1931 and in Readin' and Writin' in 1932.,career,"Marlowe's Miss Crabtree character was used in only two more shorts,
1931's Shiver My Timbers and 1932's Readin' and Writin'. After Cooper
left Our Gang in 1931 she appeared in MGM features."